system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE71070331999246EDC00,1.75,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.299,102.0,1999-09-03T01:07:58,246.04720650462963,10.0,"{blue=45.50834708213806, green=27.150393426418304, red=10.727834987640382, nir=6.415747940540314, swir1=0.4262914344668388, swir2=0.06702752783894539, tir1=8.828598490357399, tir2=8.840236157923936}",36.87255859375,"{lake_TIR=8.828598490357399, lake_BT=22.787042236328126, bkgd_BT=22.49286298674592, bkgd_TIR=8.79061576864616}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
LE71070331999294EDC00,1.629998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.319,230.0,1999-10-21T01:07:53,294.04714520833335,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",52.237037658691406,"{lake_TIR=null, lake_BT=null, bkgd_BT=14.52575185099446, bkgd_TIR=7.782581856229391}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
LE71070331999342EDC00,0.629998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.33,87.0,1999-12-08T01:07:56,342.0471783449074,39.0,"{blue=40.36466843653948, green=26.372057075683887, red=14.510357783390926, nir=6.16968495112199, swir1=0.38195244547648305, swir2=0.08109728304239419, tir1=6.58493033481332, tir2=6.5867987139484825}",64.33455085754395,"{lake_TIR=6.58493033481332, lake_BT=4.253582294170673, bkgd_BT=2.0099477169698456, bkgd_TIR=6.338817867845627}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
LE71070332000025EDC01,0.3899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.334,76.0,2000-01-25T01:07:50,25.047108958333332,56.0,"{blue=43.36124919142042, green=25.695401883551053, red=13.560799053737096, nir=5.890227698854038, swir1=0.28474418233547893, swir2=0.06781141420028039, tir1=5.999460111771311, tir2=6.011614156620843}",62.656517028808594,"{lake_TIR=5.999460111771311, lake_BT=-1.1666815621512276, bkgd_BT=-6.084368590613432, bkgd_TIR=5.495906628549506}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
LE71070332000057EDC00,0.579998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.39,230.0,2000-02-26T01:07:39,57.04698949074074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",53.44707489013672,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
LE71070332000089SGS00,1.670001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.394,180.0,2000-03-29T01:07:33,89.04691615740741,43.0,"{blue=116.6236235984536, green=92.72785083499066, red=52.35115488185439, nir=20.62445498067279, swir1=0.9813680087411126, swir2=0.22271100518315337, tir1=6.529243776444779, tir2=6.529390196554189}",41.36024856567383,"{lake_TIR=6.529243776444779, lake_BT=3.7499368357103924, bkgd_BT=null, bkgd_TIR=null}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
LE71070332000105EDC00,1.720001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.385,230.0,2000-04-14T01:07:20,105.0467656712963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",35.56931686401367,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
LE71070332000121SGS00,1.120001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.368,230.0,2000-04-30T01:07:19,121.04675890046296,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",30.655029296875,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
LE71070332000137HAJ00,1.8600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.372,149.0,2000-05-16T01:07:08,137.0466285300926,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",27.06934356689453,"{lake_TIR=null, lake_BT=null, bkgd_BT=13.642285567924075, bkgd_TIR=7.6850569759252485}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
LE71070332000153EDC00,2.7600006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.325,230.0,2000-06-01T01:06:57,153.04649346064815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",25.08893585205078,"{lake_TIR=null, lake_BT=null, bkgd_BT=13.548304631159855, bkgd_TIR=7.663355598656031}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
LE71070332000169HAJ00,2.9100006103515623,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.301,230.0,2000-06-17T01:06:52,169.04644668981481,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",24.67272186279297,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=230, green=230, red=230, nir=230, swir1=230, swir2=230, tir1=230, tir2=230}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[140.727597,38.735474],[140.721365,38.735705],[140.721766,38.731983],[140.727657,38.73192199999999],[140.727597,38.735474]]]}"
