system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC80960642013135LGN01,3.8699996948242186,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.254,171897.0,2013-05-15T00:21:22,135.01483855324074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",35.767784118652344,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=171897, green=171897, red=171897, nir=171897, swir1=171897, swir2=171897, tir1=171897, tir2=171897}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[147.05852599999997,-5.277493],[147.059392,-5.386074000000001],[147.175291,-5.384525000000003],[147.174316,-5.275028],[147.05852599999997,-5.277493]]]}"
LC80960642013151LGN00,3.1,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.257,171897.0,2013-05-31T00:21:27,151.01489988425925,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",38.035762786865234,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=171897, green=171897, red=171897, nir=171897, swir1=171897, swir2=171897, tir1=171897, tir2=171897}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[147.05852599999997,-5.277493],[147.059392,-5.386074000000001],[147.175291,-5.384525000000003],[147.174316,-5.275028],[147.05852599999997,-5.277493]]]}"
LC80960642013167LGN00,4.619999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.257,93235.0,2013-06-16T00:21:22,167.0148382060185,42159.0,"{blue=45.57401714581443, green=24.7751433286541, red=12.374913762187015, nir=5.0237628135410946, swir1=0.6017125703994574, swir2=0.14397435131752293, tir1=8.496119007162651, tir2=7.624636173711293}",39.52650451660156,"{lake_TIR=8.496119007162651, lake_BT=19.014555636092215, bkgd_BT=18.97081014559167, bkgd_TIR=8.490436618957675}","{blue=171897, green=171897, red=171897, nir=171897, swir1=171897, swir2=171897, tir1=171897, tir2=171897}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[147.05852599999997,-5.277493],[147.059392,-5.386074000000001],[147.175291,-5.384525000000003],[147.174316,-5.275028],[147.05852599999997,-5.277493]]]}"
LC80960642013183LGN00,3.8800003051757814,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.258,171897.0,2013-07-02T00:21:22,183.01484247685184,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",39.87211990356445,"{lake_TIR=null, lake_BT=null, bkgd_BT=2.895713178254034, bkgd_TIR=6.506526189068623}","{blue=171897, green=171897, red=171897, nir=171897, swir1=171897, swir2=171897, tir1=171897, tir2=171897}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[147.05852599999997,-5.277493],[147.059392,-5.386074000000001],[147.175291,-5.384525000000003],[147.174316,-5.275028],[147.05852599999997,-5.277493]]]}"
LC80960642013199LGN00,3.7399993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.253,148284.0,2013-07-18T00:21:22,199.01484055555557,9157.0,"{blue=45.95476673543809, green=24.509076144602716, red=12.600260087028854, nir=4.663831981616411, swir1=0.5691047275609619, swir2=0.13729677238455382, tir1=8.494577745632187, tir2=7.5945874967532}",38.924930572509766,"{lake_TIR=8.494577745632187, lake_BT=19.00286279344866, bkgd_BT=19.23317196901113, bkgd_TIR=8.525813201406617}","{blue=171897, green=171897, red=171897, nir=171897, swir1=171897, swir2=171897, tir1=171897, tir2=171897}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[147.05852599999997,-5.277493],[147.059392,-5.386074000000001],[147.175291,-5.384525000000003],[147.174316,-5.275028],[147.05852599999997,-5.277493]]]}"
LC80960642013215LGN00,4.169999694824218,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.26,95361.0,2013-08-03T00:21:24,215.01486631944445,59764.0,"{blue=44.72982731745765, green=24.04551373117286, red=12.141189882476581, nir=4.350328613508125, swir1=0.5492903060200756, swir2=0.13028251246484354, tir1=8.661767959345115, tir2=7.765953420945766}",36.72893142700195,"{lake_TIR=8.661767959345115, lake_BT=20.25280127969901, bkgd_BT=20.620740613109497, bkgd_TIR=8.711554712272305}","{blue=171897, green=171897, red=171897, nir=171897, swir1=171897, swir2=171897, tir1=171897, tir2=171897}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[147.05852599999997,-5.277493],[147.059392,-5.386074000000001],[147.175291,-5.384525000000003],[147.174316,-5.275028],[147.05852599999997,-5.277493]]]}"
LC80960642013247LGN00,2.5899993896484377,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.272,111440.0,2013-09-04T00:21:26,247.01488787037036,1613.0,"{blue=49.206775881800404, green=26.424550251356255, red=14.300607374790186, nir=5.576348247221323, swir1=0.7816438977237068, swir2=0.19221922043960377, tir1=8.663981516968146, tir2=7.761744428286949}",29.90966033935547,"{lake_TIR=8.663981516968146, lake_BT=20.268320158114733, bkgd_BT=21.526952671488004, bkgd_TIR=8.83499834099874}","{blue=171897, green=171897, red=171897, nir=171897, swir1=171897, swir2=171897, tir1=171897, tir2=171897}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[147.05852599999997,-5.277493],[147.059392,-5.386074000000001],[147.175291,-5.384525000000003],[147.174316,-5.275028],[147.05852599999997,-5.277493]]]}"
LC80960642013279LGN00,4.039999389648438,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.261,95567.0,2013-10-06T00:21:17,279.0147836574074,3108.0,"{blue=53.94604850103935, green=29.193165587297276, red=15.356450013990155, nir=5.961860088733543, swir1=0.8120974730827607, swir2=0.19594504102369192, tir1=8.478088860604759, tir2=7.422032566291741}",24.216720581054688,"{lake_TIR=8.478088860604759, lake_BT=18.878925799709798, bkgd_BT=20.836901201250534, bkgd_TIR=8.740874805318047}","{blue=171897, green=171897, red=171897, nir=171897, swir1=171897, swir2=171897, tir1=171897, tir2=171897}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[147.05852599999997,-5.277493],[147.059392,-5.386074000000001],[147.175291,-5.384525000000003],[147.174316,-5.275028],[147.05852599999997,-5.277493]]]}"
LC80960642013295LGN00,2.9899993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.262,94429.0,2013-10-22T00:21:12,295.01472341435186,731.0,"{blue=57.87099910863304, green=32.54852627370654, red=16.768503839552668, nir=6.954246363727434, swir1=0.9715106372104221, swir2=0.23943277961598702, tir1=8.373662408210864, tir2=7.435688909647092}",23.74652862548828,"{lake_TIR=8.373662408210864, lake_BT=18.069595357787918, bkgd_BT=19.232103084403438, bkgd_TIR=8.527493703169588}","{blue=171897, green=171897, red=171897, nir=171897, swir1=171897, swir2=171897, tir1=171897, tir2=171897}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[147.05852599999997,-5.277493],[147.059392,-5.386074000000001],[147.175291,-5.384525000000003],[147.174316,-5.275028],[147.05852599999997,-5.277493]]]}"
LC80960642013343LGN00,3.6300003051757814,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.262,84795.0,2013-12-09T00:21:00,343.0145873032407,30580.0,"{blue=63.20375142471513, green=37.492419035975416, red=19.10547471532989, nir=7.7885264841616735, swir1=0.8250472379781549, swir2=0.1936375546292417, tir1=8.371820802503338, tir2=7.355868694731288}",29.85690689086914,"{lake_TIR=8.371820802503338, lake_BT=18.0765205837372, bkgd_BT=16.690468737700723, bkgd_TIR=8.191129643336772}","{blue=171897, green=171897, red=171897, nir=171897, swir1=171897, swir2=171897, tir1=171897, tir2=171897}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[147.05852599999997,-5.277493],[147.059392,-5.386074000000001],[147.175291,-5.384525000000003],[147.174316,-5.275028],[147.05852599999997,-5.277493]]]}"
