system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LT51200651987360BKT00,4.669999694824218,"{shadow_count=2136.0, cloud_count=0.0, water_count=19.0, snow_count=0.0, lake_SR={blue=0.029189473684210526, green=0.04662631578947369, red=0.02886315789473684, nir=0.029257894736842108, swir1=0.014815789473684213, swir2=0.008721052631578945}}",0.257,3590.0,1987-12-26T02:16:50,360.0950300231481,108.0,"{blue=43.49076390707934, green=35.47945125676967, red=18.153230374609983, nir=7.761250426371892, swir1=0.5571741160971148, swir2=0.12130906908876365, tir1=7.723425184169577}",37.952022552490234,"{lake_TIR=7.723425184169577, bkgd_BT=16.948526362368934, lake_BT=14.91787013301143, bkgd_TIR=7.967982956806296}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LT51200651988155BKT00,4.3,"{shadow_count=168.0, cloud_count=106.0, water_count=136.0, snow_count=0.0, lake_SR={blue=0.024994117647058802, green=0.044908088235294116, red=0.02560147058823532, nir=0.02596985294117648, swir1=0.012705882352941173, swir2=0.007285294117647063}}",0.252,3653.0,1988-06-03T02:18:37,155.0962728125,86.0,"{blue=33.45205514375554, green=27.35546564778616, red=13.178606271743774, nir=5.579679902209792, swir1=0.4514882922345816, swir2=0.09619805346741232, tir1=8.124982184015733}",45.17269515991211,"{lake_TIR=8.124982184015733, bkgd_BT=22.627090822858865, lake_BT=18.24588154637536, bkgd_TIR=8.675176797000182}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LT51200651988203BKT00,4.219999694824219,"{shadow_count=286.0, cloud_count=3703.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.25,3989.0,1988-07-21T02:18:50,203.09641359953704,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",45.636653900146484,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LT51200651988267BKT00,4.719999694824219,"{shadow_count=494.0, cloud_count=3330.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.269,3798.0,1988-09-23T02:18:49,267.0964066435185,12.0,"{blue=51.68358075618744, green=41.56404144565264, red=23.97243230541547, nir=9.586299697558085, swir1=0.883690961326162, swir2=0.18868111943205199, tir1=8.284343448467553}",34.062374114990234,"{lake_TIR=8.284343448467553, bkgd_BT=27.41344698366546, lake_BT=19.527369181315105, bkgd_TIR=9.293392928559518}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LT51200651989013BKT00,4.3899993896484375,"{shadow_count=0.0, cloud_count=3988.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.263,3989.0,1989-01-13T02:18:17,13.0960340625,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",38.97653579711914,"{lake_TIR=null, bkgd_BT=6.310166589436668, lake_BT=null, bkgd_TIR=6.740654648837124}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LT51200651989077BKT00,4.530000305175781,"{shadow_count=29.0, cloud_count=3873.0, water_count=7.0, snow_count=0.0, lake_SR={blue=0.04984285714285714, green=0.06021428571428571, red=0.04102857142857143, nir=0.0377, swir1=0.018285714285714287, swir2=0.009271428571428571}}",0.269,3924.0,1989-03-18T02:17:12,77.09528002314815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",38.07186508178711,"{lake_TIR=null, bkgd_BT=11.309076162484976, lake_BT=null, bkgd_TIR=7.329141687601805}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LT51200651989269BKT00,4.2,"{shadow_count=116.0, cloud_count=129.0, water_count=127.0, snow_count=0.0, lake_SR={blue=0.035962992125984236, green=0.05199291338582678, red=0.03717007874015747, nir=0.03814566929133859, swir1=0.02258582677165354, swir2=0.017672440944881875}}",0.266,3699.0,1989-09-26T02:13:51,269.0929571875,9.0,"{blue=44.951546880933975, green=37.85452267858717, red=20.637507610850864, nir=8.418268163998922, swir1=1.0876246905989118, swir2=0.24330710619688034, tir1=8.049003884196281}",34.83998107910156,"{lake_TIR=8.049003884196281, bkgd_BT=24.601094381192837, lake_BT=17.623565673828125, bkgd_TIR=8.92567448693223}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LT51200651989285BKT00,4.710000610351562,"{shadow_count=0.0, cloud_count=0.0, water_count=158.0, snow_count=0.0, lake_SR={blue=0.034003164556962034, green=0.05438101265822786, red=0.04035063291139242, nir=0.04357341772151903, swir1=0.02375443037974682, swir2=0.01854936708860758}}",0.269,3714.0,1989-10-12T02:13:26,285.09266481481484,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",33.03596115112305,"{lake_TIR=null, bkgd_BT=24.793387782327763, lake_BT=null, bkgd_TIR=8.95262324645981}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LT51200651989349BKT00,4.839999389648438,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.272,3989.0,1989-12-15T02:11:36,349.091393599537,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",37.97655487060547,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LT51200651989349BKT01,4.839999389648438,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.272,3989.0,1989-12-15T02:11:36,349.091393599537,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",37.97655487060547,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LT51200651990016BKT00,5.069999694824219,"{shadow_count=0.0, cloud_count=3989.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.253,3984.0,1990-01-16T02:10:35,16.090686435185184,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",40.810997009277344,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LT51200651990048BKT00,4.6399993896484375,"{shadow_count=0.0, cloud_count=3989.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.27,3989.0,1990-02-17T02:09:34,48.089978564814814,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",40.834712982177734,"{lake_TIR=null, bkgd_BT=-11.619138066072642, lake_BT=null, bkgd_TIR=4.929486386292839}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LT51200651990064BKT00,4.5,"{shadow_count=51.0, cloud_count=1760.0, water_count=25.0, snow_count=0.0, lake_SR={blue=0.065004, green=0.089676, red=0.05914399999999999, nir=0.05929600000000002, swir1=0.030567999999999998, swir2=0.019200000000000005}}",0.262,3889.0,1990-03-05T02:09:01,64.08959556712963,3.0,"{blue=85.08267402648926, green=86.18845037619273, red=48.24488421281179, nir=17.47051254908244, swir1=1.4353149831295013, swir2=0.33070868502060574, tir1=7.569095753133297}",40.429500579833984,"{lake_TIR=7.569095753133297, bkgd_BT=14.823365644975143, lake_BT=13.614837646484375, bkgd_TIR=7.712265149375738}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LT51200651990112BKT00,4.830000305175782,"{shadow_count=1030.0, cloud_count=1691.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.274,3858.0,1990-04-22T02:08:22,112.08914903935185,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",42.066463470458984,"{lake_TIR=null, bkgd_BT=13.861702972987914, lake_BT=null, bkgd_TIR=7.598698214047922}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LT51200651990240BKT00,3.2600006103515624,"{shadow_count=0.0, cloud_count=0.0, water_count=232.0, snow_count=0.0, lake_SR={blue=0.026781034482758617, green=0.037319396551724136, red=0.024483620689655178, nir=0.02724741379310344, swir1=0.010379310344827591, swir2=0.006318534482758606}}",0.268,3648.0,1990-08-28T02:08:00,240.08889875,33.0,"{blue=43.052811564821184, green=31.937990495652862, red=15.375444614525998, nir=6.825497890963699, swir1=0.4834216298027472, swir2=0.10425913988640814, tir1=8.09430989656936}",41.8634033203125,"{lake_TIR=8.09430989656936, bkgd_BT=20.522977533847026, lake_BT=17.996951016512785, bkgd_TIR=8.408157018077825}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LT51200651990288BKT00,4.160000610351562,"{shadow_count=0.0, cloud_count=0.0, water_count=215.0, snow_count=0.0, lake_SR={blue=0.03023674418604653, green=0.03795441860465113, red=0.028765581395348863, nir=0.029562790697674413, swir1=0.014761860465116268, swir2=0.009956744186046517}}",0.277,3710.0,1990-10-15T02:07:42,288.08868802083333,14.0,"{blue=45.617557355335784, green=31.726208789008005, red=15.831901839801244, nir=7.187663512570517, swir1=0.8249465849782739, swir2=0.15434478489415987, tir1=8.337739820192967}",34.28491973876953,"{lake_TIR=8.337739820192967, bkgd_BT=28.139869967818957, lake_BT=19.972970145089285, bkgd_TIR=9.39047832641653}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
LT51200651990352BKT00,4.969999694824219,"{shadow_count=0.0, cloud_count=3989.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.258,3989.0,1990-12-18T02:07:36,352.0886127199074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null}",39.18416976928711,"{lake_TIR=null, bkgd_BT=-13.715903256108852, lake_BT=null, bkgd_TIR=4.743356735521897}","{blue=3989, green=3989, red=3989, nir=3989, swir1=3989, swir2=3989, tir1=3989}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[109.889328,-7.205903999999999],[109.88922099999999,-7.216514],[109.91760900000003,-7.216497999999997],[109.917979,-7.206663],[109.889328,-7.205903999999999]]]}"
