system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LE70720201999208AGS00,1.8100006103515625,"{shadow_count=0.0, cloud_count=9245.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.3,9245.0,1999-07-27T21:26:24,208.89334231481482,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",40.27848815917969,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720201999240AGS00,1.029998779296875,"{shadow_count=40.0, cloud_count=0.0, water_count=4744.0, snow_count=6.0, lake_SR={blue=0.06428444350758844, green=0.08254483558178707, red=0.05034344435075883, nir=0.036131766441821034, swir1=0.03267322934232679, swir2=0.034281892917369154}}",0.338,3560.0,1999-08-28T21:26:29,240.89340071759258,2878.0,"{blue=49.35112404964134, green=41.95546618325583, red=18.047622017598634, nir=5.082425109622709, swir1=0.3286043266565788, swir2=0.08106012872010573, tir1=7.144491360671016, tir2=7.150771976841447}",49.28215789794922,"{lake_TIR=7.144491360671016, bkgd_BT=18.384522510175945, lake_BT=9.096249822281234, bkgd_TIR=8.277586245173667}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720201999304AGS00,0.4899993896484375,"{shadow_count=662.0, cloud_count=1144.0, water_count=347.0, snow_count=7020.0, lake_SR={blue=0.1677590778097982, green=0.15602881844380395, red=0.09232219020172909, nir=0.052011239193083536, swir1=0.015543515850144088, swir2=0.01611902017291069}}",0.391,8230.0,1999-10-31T21:26:26,304.8933566550926,664.0,"{blue=41.280866949314095, green=29.450606845947632, red=15.297363120389273, nir=5.9946985902735985, swir1=0.5195881383695516, swir2=0.17849050177238793, tir1=5.846941984146385, tir2=5.848091070860041}",72.15303993225098,"{lake_TIR=5.846941984146385, bkgd_BT=null, lake_BT=-2.707704291286239, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720201999320AGS00,0.670001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3563543859649123,9245.0,1999-11-16T21:26:25,320.89335644675924,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",76.7655897140503,"{lake_TIR=null, bkgd_BT=-11.760808041221217, lake_BT=null, bkgd_TIR=4.9467551131781775}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720201999336AGS00,0.6899993896484375,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.406,9245.0,1999-12-02T21:26:22,336.89331172453706,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",80.06833934783936,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202000003EDC00,0.129998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.428,9243.0,2000-01-03T21:26:22,3.8933147569444446,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",81.38623523712158,"{lake_TIR=null, bkgd_BT=-17.56512439993275, lake_BT=null, bkgd_TIR=4.422064582261192}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202000019AGS00,0.729998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.321,9225.0,2000-01-19T21:26:19,19.89328304398148,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",79.17864418029785,"{lake_TIR=null, bkgd_BT=-4.440312075674984, lake_BT=null, bkgd_TIR=5.661299155213371}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202000099AGS01,0.729998779296875,"{shadow_count=0.0, cloud_count=9245.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.386,9245.0,2000-04-08T21:25:56,99.8930180787037,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",51.35174560546875,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202000115AGS00,0.3899993896484375,"{shadow_count=0.0, cloud_count=9103.0, water_count=0.0, snow_count=142.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.421,9245.0,2000-04-24T21:25:52,115.89296513888888,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",45.67670822143555,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202000131AGS00,1.2399993896484376,"{shadow_count=0.0, cloud_count=9245.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.388,9245.0,2000-05-10T21:25:40,131.8928284837963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",41.01592254638672,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202000147AGS00,0.879998779296875,"{shadow_count=0.0, cloud_count=0.0, water_count=2324.0, snow_count=6629.0, lake_SR={blue=0.19971209122203004, green=0.19049797762478568, red=0.11096820137693571, nir=0.05878162650602321, swir1=0.005175817555937954, swir2=0.006016308089500947}}",0.385,6971.0,2000-05-26T21:25:30,147.89271600694445,2162.0,"{blue=106.33839980900895, green=82.65611313516403, red=44.543660709970425, nir=17.59764689945932, swir1=0.5600080794683218, swir2=0.14572652786019, tir1=6.4376464379222496, tir2=6.449648522753803}",37.73261260986328,"{lake_TIR=6.4376464379222496, bkgd_BT=null, lake_BT=2.8387949164546717, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202000163AGS00,1.620001220703125,"{shadow_count=0.0, cloud_count=9245.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.382,9245.0,2000-06-11T21:25:24,163.89265042824073,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",36.09122085571289,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202000179AGS00,1.870001220703125,"{shadow_count=0.0, cloud_count=9245.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.334,9245.0,2000-06-27T21:25:13,179.89252060185186,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",36.18305587768555,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202000195AGS00,2.4899993896484376,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.323,9245.0,2000-07-13T21:25:01,195.8923822337963,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",37.89979934692383,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202000211AGS00,0.970001220703125,"{shadow_count=0.0, cloud_count=9245.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.321,9245.0,2000-07-29T21:24:44,211.89218024305555,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",41.00408172607422,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202000227AGS00,3.1199996948242186,"{shadow_count=17.0, cloud_count=9228.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.28,8962.0,2000-08-14T21:24:38,227.89210875,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",45.233097076416016,"{lake_TIR=null, bkgd_BT=11.487133292264717, lake_BT=null, bkgd_TIR=7.426332228405531}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202000243AGS00,1.6,"{shadow_count=168.0, cloud_count=1625.0, water_count=3109.0, snow_count=12.0, lake_SR={blue=0.07074795754261806, green=0.09386227082663202, red=0.05844609199099409, nir=0.05151331617883616, swir1=0.049706079125120706, swir2=0.04862360887745236}}",0.27,4566.0,2000-08-30T21:24:26,243.89197630787038,1364.0,"{blue=50.51671969680842, green=43.82193098927348, red=21.018753596414918, nir=9.279206760948703, swir1=1.4430695765725503, swir2=0.4399965207455707, tir1=6.857442265496619, tir2=6.85277290482216}",50.31412124633789,"{lake_TIR=6.857442265496619, bkgd_BT=null, lake_BT=6.600931833216872, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202000259AGS00,0.7600006103515625,"{shadow_count=0.0, cloud_count=0.0, water_count=4564.0, snow_count=10.0, lake_SR={blue=0.058368361086765914, green=0.07768170464504799, red=0.04693402716915044, nir=0.02876851446099878, swir1=0.022753790534618134, swir2=0.02308258106923743}}",0.326,3328.0,2000-09-15T21:24:07,259.89175550925927,2892.0,"{blue=40.88227504491806, green=35.16592774901895, red=15.548100554596834, nir=3.763781099398601, swir1=0.16182199524481103, swir2=0.03258640176125829, tir1=6.988490592958831, tir2=6.986596987846811}",55.971031188964844,"{lake_TIR=6.988490592958831, bkgd_BT=14.88599029789126, lake_BT=7.746968312876848, bkgd_TIR=7.836861974491579}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202000291AGS00,1.029998779296875,"{shadow_count=729.0, cloud_count=1070.0, water_count=4146.0, snow_count=2219.0, lake_SR={blue=0.10536497829233019, green=0.10403152436083102, red=0.062079522431258916, nir=0.03898880849011064, swir1=0.02095306319343954, swir2=0.020079980704293326}}",0.355,4719.0,2000-10-17T21:23:42,291.89146875,2878.0,"{blue=39.555720016308506, green=28.693351796408177, red=13.690647071562681, nir=4.4019814308233105, swir1=0.2150146664120904, swir2=0.05302543261187453, tir1=6.45842699551485, tir2=6.462355313603873}",67.73562240600586,"{lake_TIR=6.45842699551485, bkgd_BT=null, lake_BT=3.029907194751265, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202000307AGS00,0.420001220703125,"{shadow_count=769.0, cloud_count=7371.0, water_count=0.0, snow_count=1105.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.33,9245.0,2000-11-02T21:23:54,307.8916057638889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",73.08763885498047,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202000323AGS00,1.0100006103515624,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.395,9245.0,2000-11-18T21:23:52,323.89158128472224,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",77.50417995452881,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202001117AGS00,0.670001220703125,"{shadow_count=0.0, cloud_count=0.0, water_count=2480.0, snow_count=6755.0, lake_SR={blue=0.1596201612903215, green=0.15886657258064718, red=0.09027124999999968, nir=0.04533318548387116, swir1=0.0043230241935483, swir2=0.0037544758064516144}}",0.386,6793.0,2001-04-27T21:23:37,117.89141,2362.0,"{blue=83.60436883323986, green=65.03070968195203, red=32.946133156533364, nir=11.81417494921438, swir1=0.3000388920786621, swir2=0.07368093756462031, tir1=6.284896737433005, tir2=6.2845583073479405}",44.90400695800781,"{lake_TIR=6.284896737433005, bkgd_BT=null, lake_BT=1.5121474560794943, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202001133AGS00,0.629998779296875,"{shadow_count=1293.0, cloud_count=7927.0, water_count=23.0, snow_count=2.0, lake_SR={blue=0.1739347826086957, green=0.17506086956521735, red=0.10639130434782611, nir=0.06083478260869564, swir1=0.02088260869565217, swir2=0.01679130434782608}}",0.406,9052.0,2001-05-13T21:23:27,133.89128790509258,131.0,"{blue=96.46886586778946, green=78.21382360740472, red=42.6110697374999, nir=17.22329747221852, swir1=1.2218658620392093, swir2=0.3178472280047322, tir1=6.319456679447916, tir2=6.314972629784855}",40.45703125,"{lake_TIR=6.319456679447916, bkgd_BT=null, lake_BT=1.7563746794489503, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202001149AGS00,0.95,"{shadow_count=0.0, cloud_count=0.0, water_count=3081.0, snow_count=3898.0, lake_SR={blue=0.1293408308990587, green=0.1398436546575806, red=0.06482541382668042, nir=0.02641837065887674, swir1=0.004447192469977258, swir2=0.004189029535865019}}",0.397,6198.0,2001-05-29T21:23:19,149.8911972685185,2886.0,"{blue=81.7380056370486, green=66.67144576173563, red=28.360350990824127, nir=8.205085458353999, swir1=0.22927202471762337, swir2=0.055695670945356886, tir1=7.030286692253269, tir2=7.0255892903480115}",37.4541130065918,"{lake_TIR=7.030286692253269, bkgd_BT=null, lake_BT=8.104236319919304, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202001165AGS00,1.2600006103515624,"{shadow_count=0.0, cloud_count=9245.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.369,9243.0,2001-06-14T21:23:08,165.8910655324074,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",36.12017822265625,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202001197AGS00,1.4899993896484376,"{shadow_count=518.0, cloud_count=4420.0, water_count=2589.0, snow_count=3.0, lake_SR={blue=0.07606458091927372, green=0.08575330243337206, red=0.05892622634221705, nir=0.04654082657396753, swir1=0.03950042487446915, swir2=0.04089903437620715}}",0.335,5203.0,2001-07-16T21:22:53,197.89089418981482,1809.0,"{blue=64.95808230005225, green=54.796857125822385, red=25.85243578310366, nir=8.543485631990196, swir1=0.7102910022649269, swir2=0.1898025917028313, tir1=7.149044854999939, tir2=7.149006898754321}",38.4820671081543,"{lake_TIR=7.149044854999939, bkgd_BT=17.27516140407986, lake_BT=9.134937748189392, bkgd_TIR=8.136364014557115}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202001213AGS00,1.2399993896484376,"{shadow_count=662.0, cloud_count=8018.0, water_count=261.0, snow_count=0.0, lake_SR={blue=0.08645440613026824, green=0.08470804597701151, red=0.08834176245210736, nir=0.09376475095785458, swir1=0.09043103448275853, swir2=0.09593754789272037}}",0.324,8137.0,2001-08-01T21:22:40,213.89074947916666,108.0,"{blue=61.319656707622386, green=47.254002064466476, red=23.91840249520761, nir=9.950940579175949, swir1=1.0896501772933536, swir2=0.300335335234801, tir1=7.206220525627335, tir2=7.2153542945506395}",41.79951858520508,"{lake_TIR=7.206220525627335, bkgd_BT=12.230926976059422, lake_BT=9.624285945185909, bkgd_TIR=7.514717306715973}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202001245AGS00,1.679998779296875,"{shadow_count=0.0, cloud_count=9245.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.281,8722.0,2001-09-02T21:22:11,245.89041016203703,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",51.365779876708984,"{lake_TIR=null, bkgd_BT=3.133930206298828, lake_BT=null, bkgd_TIR=6.461500254900832}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202001261AGS00,1.05,"{shadow_count=734.0, cloud_count=956.0, water_count=3354.0, snow_count=2.0, lake_SR={blue=0.06138834227787763, green=0.07029621347644448, red=0.049271258199165335, nir=0.03787245080500943, swir1=0.03186794871794893, swir2=0.03249120453190243}}",0.317,3770.0,2001-09-18T21:21:59,261.8902711458333,2455.0,"{blue=41.71393165034821, green=33.494414536724754, red=15.68067928283132, nir=4.421665501813053, swir1=0.2769091112489856, swir2=0.0684132984329144, tir1=6.942877097925562, tir2=6.941946582135018}",57.07936096191406,"{lake_TIR=6.942877097925562, bkgd_BT=10.076615545484755, lake_BT=7.349867972628405, bkgd_TIR=7.259330762239794}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202001293AGS00,0.4600006103515625,"{shadow_count=39.0, cloud_count=9206.0, water_count=0.0, snow_count=0.0, lake_SR={blue=null, green=null, red=null, nir=null, swir1=null, swir2=null}}",0.366,9245.0,2001-10-20T21:21:51,293.8901758796296,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",68.77266883850098,"{lake_TIR=null, bkgd_BT=-11.03731253977572, lake_BT=null, bkgd_TIR=5.016420456381996}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202001309PFS00,0.1100006103515625,"{shadow_count=0.0, cloud_count=0.0, water_count=2861.0, snow_count=6384.0, lake_SR={blue=0.17459398811604107, green=0.17272243970639525, red=0.0892779098217386, nir=0.03693058371198822, swir1=0.001804054526389392, swir2=0.001821530933240129}}",0.3,6424.0,2001-11-05T21:21:56,309.89023966435184,2728.0,"{blue=39.130784826719164, green=28.526071992306765, red=14.072549887067062, nir=4.51732868163729, swir1=0.07856511758897136, swir2=0.016982935210607966, tir1=5.770063658168436, tir2=5.766594085901091}",73.98611259460449,"{lake_TIR=5.770063658168436, bkgd_BT=null, lake_BT=-3.37612322138901, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
LE70720202001325AGS00,0.670001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.403,9245.0,2001-11-21T21:22:05,325.8903373263889,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",78.19634056091309,"{lake_TIR=null, bkgd_BT=null, lake_BT=null, bkgd_TIR=null}","{blue=9245, green=9245, red=9245, nir=9245, swir1=9245, swir2=9245, tir1=9245, tir2=9245}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-158.08499199999997,56.90742999999999],[-158.085805,56.93507499999998],[-158.129874,56.93593699999999],[-158.12865,56.907554],[-158.08499199999997,56.90742999999999]]]}"
