system:index,H2O,LEDAPS,O3,cloud_count,date,doy,lake_count,lake_mean_rad,solar_z,thermal,valid_count,.geo
LC81000262013115LGN01,1.370001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.364,75081.0,2013-04-25T00:30:44,115.02134971064815,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",38.02839660644531,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=75081, green=75081, red=75081, nir=75081, swir1=75081, swir2=75081, tir1=75081, tir2=75081}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LC81000262013179LGN01,1.920001220703125,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.405,75081.0,2013-06-28T00:30:56,179.02148671296297,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",29.019012451171875,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=75081, green=75081, red=75081, nir=75081, swir1=75081, swir2=75081, tir1=75081, tir2=75081}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LC81000262013195LGN00,2.7100006103515626,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.343,47777.0,2013-07-14T00:30:58,195.02150841435184,25583.0,"{blue=47.08384320185703, green=23.797516881326302, red=10.783329987441855, nir=3.7931209138451463, swir1=0.2540150937755949, swir2=0.052034151431266135, tir1=6.570797313396157, tir2=6.143178703413332}",30.726287841796875,"{lake_TIR=6.570797313396157, lake_BT=3.4550064159083607, bkgd_BT=17.240361867857374, bkgd_TIR=8.262789051137934}","{blue=75081, green=75081, red=75081, nir=75081, swir1=75081, swir2=75081, tir1=75081, tir2=75081}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LC81000262013211LGN00,3.3600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.3,75081.0,2013-07-30T00:30:58,211.02151481481482,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",33.691524505615234,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=75081, green=75081, red=75081, nir=75081, swir1=75081, swir2=75081, tir1=75081, tir2=75081}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LC81000262013307LGN00,0.8600006103515625,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.329,47478.0,2013-11-03T00:30:43,307.0213392013889,21463.0,"{blue=34.87187087615478, green=18.039302822629075, red=9.531047624067442, nir=2.8807371515487876, swir1=0.14901282622061623, swir2=0.030096458835155084, tir1=6.316773151994108, tir2=5.8924602450768555}",64.74886512756348,"{lake_TIR=6.316773151994108, lake_BT=1.214586434335215, bkgd_BT=-5.764707753356074, bkgd_TIR=5.5652547621342}","{blue=75081, green=75081, red=75081, nir=75081, swir1=75081, swir2=75081, tir1=75081, tir2=75081}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LC81000262013339LGN00,0.65,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.389,66658.0,2013-12-05T00:30:36,339.0212549074074,589.0,"{blue=27.691533929201913, green=14.35026694238597, red=8.332165834606199, nir=3.056558395901154, swir1=0.24841777395068845, swir2=0.06473456598412726, tir1=5.968425294941138, tir2=5.5603953429172845}",72.240478515625,"{lake_TIR=5.968425294941138, lake_BT=-1.9515293296205167, bkgd_BT=-9.832233428955078, bkgd_TIR=5.152321511763148}","{blue=75081, green=75081, red=75081, nir=75081, swir1=75081, swir2=75081, tir1=75081, tir2=75081}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LC81000262014022LGN00,0.45,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.419,70995.0,2014-01-22T00:30:07,22.020919826388887,336.0,"{blue=35.93774343343518, green=18.994507734674873, red=11.308832601045392, nir=4.028384806056108, swir1=0.2752982741415811, swir2=0.0688771377470056, tir1=5.871626553870946, tir2=5.442624030807305}",70.7146110534668,"{lake_TIR=5.871626553870946, lake_BT=-2.8480992998395647, bkgd_BT=null, bkgd_TIR=null}","{blue=75081, green=75081, red=75081, nir=75081, swir1=75081, swir2=75081, tir1=75081, tir2=75081}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LC81000262014054LGN00,0.479998779296875,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.456,74564.0,2014-02-23T00:29:44,54.02065841435185,1.0,"{blue=41.57273447141051, green=21.895994204096496, red=12.870662675239146, nir=4.8344005681574345, swir1=0.33551930263638496, swir2=0.09424070385284722, tir1=5.353621372021735, tir2=4.926513644168153}",61.369760513305664,"{lake_TIR=5.353621372021735, lake_BT=-7.82037353515625, bkgd_BT=-11.714271196859137, bkgd_TIR=4.968124101294186}","{blue=75081, green=75081, red=75081, nir=75081, swir1=75081, swir2=75081, tir1=75081, tir2=75081}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LC81000262014070LGN00,0.6,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.459,75080.0,2014-03-11T00:29:32,70.02051177083334,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",55.28386688232422,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=75081, green=75081, red=75081, nir=75081, swir1=75081, swir2=75081, tir1=75081, tir2=75081}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LC81000262014150LGN00,2.3699996948242186,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.355,68487.0,2014-05-30T00:28:33,150.01983590277777,0.0,"{blue=null, green=null, red=null, nir=null, swir1=null, swir2=null, tir1=null, tir2=null}",30.129878997802734,"{lake_TIR=null, lake_BT=null, bkgd_BT=null, bkgd_TIR=null}","{blue=75081, green=75081, red=75081, nir=75081, swir1=75081, swir2=75081, tir1=75081, tir2=75081}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LC81000262014230LGN00,2.55,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.323,72635.0,2014-08-18T00:29:03,230.02017804398147,9.0,"{blue=66.7735183686018, green=38.08593005438646, red=21.451602176763117, nir=8.114500483653197, swir1=0.8875800592617856, swir2=0.20147744430384287, tir1=6.687896704766899, tir2=6.33646673290059}",38.62522506713867,"{lake_TIR=6.687896704766899, lake_BT=4.469292534722222, bkgd_BT=12.30836454407188, bkgd_TIR=7.634470852187281}","{blue=75081, green=75081, red=75081, nir=75081, swir1=75081, swir2=75081, tir1=75081, tir2=75081}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
LC81000262014246LGN00,2.769999694824219,"{shadow_count=null, cloud_count=null, water_count=null, snow_count=null, lake_SR=null}",0.32,51842.0,2014-09-03T00:29:05,246.0202069675926,18394.0,"{blue=51.69246217031826, green=26.24484506637587, red=12.433708696821565, nir=3.66914623668631, swir1=0.2417662652604317, swir2=0.05057217283092625, tir1=6.788101244715387, tir2=6.439411115708313}",43.54975128173828,"{lake_TIR=6.788101244715387, lake_BT=5.336759750799238, bkgd_BT=15.844283374387826, bkgd_TIR=8.08321161124816}","{blue=75081, green=75081, red=75081, nir=75081, swir1=75081, swir2=75081, tir1=75081, tir2=75081}","{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[154.773103,49.30861199999999],[154.78211700000003,49.383114],[154.661608,49.38034900000002],[154.657649,49.31312799999999],[154.773103,49.30861199999999]]]}"
